,id,expiration_id,src_port,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets
id,1.0,-0.19587635275363516,0.020542376210738574,-0.10572868202878304,-0.15594695811621023,0.004452364881707627,0.0,-0.055400526565194126,-0.057508889443254954,-0.0575111767085204,-0.08033889387266363,-0.04618978195907386,-0.04431075698098787,-0.057508889443254954,-0.05751117321704637,-0.09059391625013954,-0.1091179989558412,-0.1117729457630094,0.29008251494605775,0.29008171415927564,0.1777523114613431,0.27899970853785455,0.28124000229253,-0.09656439877469046,-0.08035346959502732,0.2082650391766626,-0.06128399151277972,-0.04204148407739584,-0.06654885968754011,0.13703968707264966,-0.049851634152864054,0.2923772044472036,0.27960205015167255,0.1244987317235695,0.27568747926186377,-0.1656381994684685,0.017945990430888282,0.05449277858393651,0.032060951417837796,-0.01018366075230961,0.045721916927982,0.025881482639050934,0.022759446444424045,0.24514863864562092,0.20176299745986653,0.134005257563987,0.19015632199232527,0.18551125188648146,0.0,0.0,0.0,0.27414503499245396,-0.013091729589441504,0.056429532914748316,0.27113581902496325,0.1740279927019764,0.0,0.0,0.0,0.25444165972806865
expiration_id,-0.19587635275363516,1.0,-0.36380128797273686,0.29119038829166005,0.47662934693095005,-0.004584293379220754,0.0,-0.12375397396736323,-0.03467890872086724,-0.034591574765841064,0.6958008552041292,0.6278831092705226,0.5686157980750376,-0.03467890872086724,-0.034591637064606044,0.7104313237480169,0.6786183437687417,0.5842036008658104,-0.3620207807906554,-0.3620203079976966,-0.15540160000787745,-0.35154238726440934,-0.34974640230124177,-0.12770619338753936,-0.1702550142547784,-0.28984305841183633,-0.19272354915934287,-0.1335041335497045,-0.15515999465198724,-0.15380876357142712,-0.1749902977046991,-0.3702317902966788,-0.37012268846578694,-0.1915547971466338,-0.37028860990176304,0.7545861512329295,0.5042645424334872,0.39974489190445617,0.40479354624560254,0.6616593381319936,0.42640958713868166,0.41701001660845977,0.41398613157759645,-0.12616031488970536,-0.15830516777220552,-0.11132587850966749,-0.15679204150184073,-0.2634810503543599,0.0,0.0,0.0,-0.3556285453768002,-0.16110162702988617,-0.2242234140570156,-0.19569727224896796,-0.26749571142226836,0.0,0.0,0.0,-0.2722895593675845
src_port,0.020542376210738574,-0.36380128797273686,1.0,0.16556891452782854,0.10687171041921098,-0.01576583000366951,0.0,0.04550107974581711,0.11551513083287195,0.11551997697152938,-0.36576993361069365,-0.25028055857710096,-0.4003880672173687,0.11551513083287195,0.11552063930629362,-0.3857594047557902,-0.3805140351876662,-0.4759948418350887,0.26585117368414596,0.2658442907852463,-0.0767596842920184,0.17550955330081155,0.18067033904743432,-0.10601344858080539,-0.11035036096384956,0.08313020069400796,-0.09593538520708385,-0.16574722080541188,-0.1351870437384777,-0.09074086376991883,-0.122300013747794,0.2740257525376387,0.28045559733741254,-0.06251924880272511,0.2619838102924622,-0.3124430948454286,-0.3425817496989826,-0.28493307989459915,-0.2980924676597963,-0.3894201024534541,-0.33062127303701144,-0.22303287854378753,-0.3158481466646618,-0.12094234564464523,-0.08842431166932728,-0.006491570690989401,-0.08110348832399117,0.37432618530121886,0.0,0.0,0.0,0.4408848430842019,0.15755343073077868,0.43579441926095985,0.15070605808432783,0.39804167444029326,0.0,0.0,0.0,0.28181637799299347
dst_port,-0.10572868202878304,0.29119038829166005,0.16556891452782854,1.0,0.8476005126189838,-0.015861853404580874,0.0,-0.0395286359180978,-0.034511563400008674,-0.03445821713817592,0.1557538105369578,0.023518701034227592,0.0591870264697075,-0.034511563400008674,-0.034458726207444036,0.1762059490993973,0.1679438354188986,0.2114673326827489,-0.4785958127151148,-0.4785962203892625,-0.09876326352480656,-0.34832957692286415,-0.33347211877706834,0.09885646882898512,0.1250559112962759,-0.2286870084758188,0.10700481037334554,0.1356653902556412,0.09579186099186299,-0.20166347925729045,0.07255988121961673,-0.3671495052420926,-0.3501508437744822,-0.21245226743214582,-0.35615806571271175,0.18842530497038068,0.08620846230339464,0.09733915876975004,0.06017000805194126,0.10731112434067623,0.07520810074358916,0.15560374640438515,0.07914437742273932,-0.18721159673807733,-0.10904709337724726,0.0060274840280259215,-0.10131111761867663,-0.17953385892559495,0.0,0.0,0.0,-0.2793906037162471,-0.03911840452443705,-0.34475794421113265,-0.049188411089360715,-0.19783018425235455,0.0,0.0,0.0,-0.21316790501007946
protocol,-0.15594695811621023,0.47662934693095005,0.10687171041921098,0.8476005126189838,1.0,0.01971365846261908,0.0,-0.12742714668294067,0.06771872981994585,0.06780252014539954,0.32875859176734284,0.1912014689889511,0.2050434361748484,0.06771872981994585,0.06780197890765244,0.35067058824947855,0.32572525176385336,0.34791209324571937,-0.5240008550524904,-0.5240005785692028,-0.21832164757932773,-0.4814913490109711,-0.47649373077863283,0.11404185133669459,0.12123658780799662,-0.4025614286759839,0.0863845399218262,0.1841894312960388,0.14572582922103405,-0.339059173889407,0.10714533235346752,-0.5046620703027699,-0.5020846679884047,-0.3808075228202907,-0.5112831654119758,0.3721954462802205,0.22630938523761335,0.2076684482567946,0.17740850929155985,0.227571346699456,0.18370411086063243,0.2669184862496175,0.1963013896523867,-0.2695861343070654,-0.22773826094946883,-0.09216025603082434,-0.220080268315244,-0.3434458203522272,0.0,0.0,0.0,-0.46189218598242576,-0.21438612795970738,-0.2870222252466857,-0.2505066957071774,-0.3478352925451239,0.0,0.0,0.0,-0.3553042528160099
ip_version,0.004452364881707627,-0.004584293379220754,-0.01576583000366951,-0.015861853404580874,0.01971365846261908,1.0,0.0,-0.011613159858822155,-0.005716257010317439,-0.005717095887586642,-0.009071779065897078,-0.0130491646470142,-0.017664570099505277,-0.005716257010317439,-0.005717085132689145,-0.008512005779958996,-0.00871294990996884,-0.013796612707644254,-0.009460024791846504,-0.009460024785878299,-0.00505004936627802,-0.009588096245306732,-0.009471004190729769,-0.0067172394880849785,-0.00983923281389192,-0.008040962885403157,-0.011342466675273732,-0.008882840971208446,-0.009907920567882495,-0.0049828379847136955,-0.01110354086199343,-0.009481339210723111,-0.009471391324211657,-0.004619742975578305,-0.009480834855184844,-0.005537574630188545,-0.009070569071621893,-0.008425372382643778,-0.009072087313376932,-0.0066989532449564255,-0.008511901812426403,-0.007828387096781799,-0.008512081941169368,-0.0033483186649458496,-0.005050036515110021,-0.004115178040566016,-0.005050227678297375,-0.00631534824811138,0.0,0.0,0.0,-0.00849336295479984,-0.0039421736337952205,-0.00527782025567146,-0.00460636562777793,-0.006396062712754199,0.0,0.0,0.0,-0.006533403400474837
vlan_id,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tunnel_id,-0.055400526565194126,-0.12375397396736323,0.04550107974581711,-0.0395286359180978,-0.12742714668294067,-0.011613159858822155,0.0,1.0,0.1118985463259034,0.1118647276596714,-0.19235324221044992,-0.25340052789669276,-0.005141643100901762,0.1118985463259034,0.11186477149596613,-0.19681479462144613,-0.1957941273664307,0.050548306887654944,-0.1311278980443701,-0.13113163695710336,-0.12971322449700423,-0.16558074130072684,-0.0693026544217424,0.6502716772165065,0.40475966969640964,-0.14142824311930086,0.39408669611586283,0.5239809870844057,0.4882596450301591,-0.045327386369107256,0.43655009426952446,0.07369373893017361,0.03331340072744625,-0.00865898515839799,0.02844067898218663,-0.10286044717639092,-0.1831850282669167,-0.17787383438286722,-0.18593797443352555,-0.11169526698965138,-0.18276857742735858,-0.19055867142518088,-0.19029971884905933,-0.0043015357950872204,-0.1262199648257893,-0.17013317555525562,-0.1294097186656869,-0.03021937903631592,0.0,0.0,0.0,-0.09326635903970482,-0.04586493183108157,-0.056446777654697446,-0.047215221283856114,-0.02560179099833706,0.0,0.0,0.0,-0.07205095124599091
bidirectional_first_seen_ms,-0.057508889443254954,-0.03467890872086724,0.11551513083287195,-0.034511563400008674,0.06771872981994585,-0.005716257010317439,0.0,0.1118985463259034,1.0,0.9999970381796094,-0.17884591233260394,-0.13886776425815656,-0.23361273300475774,1.0,0.9999970378284352,-0.20413794744389646,-0.20115791016365686,-0.23205260598446611,0.2697275949911145,0.26972674824707227,-0.27371065186868443,-0.1209358268943138,-0.16577652771349108,-0.027566026401705652,-0.19643379506553493,-0.18814258131245218,-0.22075438985776785,-0.04659193546362278,-0.0980849584336204,-0.23608407959257838,-0.15873901341026758,-0.12468640826555562,-0.161621700471937,-0.23446544422907373,-0.16392208163051833,0.014150990733606659,-0.20157278092750622,-0.26531267841568723,-0.2365736766346466,-0.13084847852127343,-0.26943752159737844,-0.29212574625189186,-0.26373715759939165,-0.09539476505754876,-0.27307617710949117,-0.301534291716799,-0.27719208576126514,-0.16358038171351433,0.0,0.0,0.0,-0.29017891106717936,-0.44720449391996137,0.4191143017214881,-0.48482671078033096,-0.09440129097913277,0.0,0.0,0.0,-0.4425271252048366
bidirectional_last_seen_ms,-0.0575111767085204,-0.034591574765841064,0.11551997697152938,-0.03445821713817592,0.06780252014539954,-0.005717095887586642,0.0,0.1118647276596714,0.9999970381796094,1.0,-0.17855970242953803,-0.1386219358126238,-0.2333927210197489,0.9999970381796094,0.9999999993207066,-0.2038533553996432,-0.20091765156706726,-0.23184816358830032,0.2698265187854782,0.26982645552684886,-0.2738612190097893,-0.12089006315399353,-0.16569564772935813,-0.02761408223753669,-0.19646778088240519,-0.1880189325024984,-0.2207658429861687,-0.04662616450743346,-0.09812110773851565,-0.2359354278186511,-0.15874894119497088,-0.12452683767325406,-0.1614832714800104,-0.23464579521763196,-0.1637909971633536,0.014200394230216634,-0.20116833499727424,-0.26498416238468214,-0.23625808143979077,-0.13066112818036582,-0.26911189980991945,-0.2917900361148544,-0.26342356209157414,-0.09565877749744328,-0.27324742863645807,-0.30156313596562645,-0.27734952698010484,-0.1634690583010331,0.0,0.0,0.0,-0.2900720308376061,-0.44720998246634114,0.41910028066586413,-0.48468258036389705,-0.09432234092994131,0.0,0.0,0.0,-0.44240215566097013
