feature,chi2,p_value
cat__dst_mac_26:28:7a:8b:a0:ed,96337.05440606088,0.0
cat__dst_oui_26:28:7a,96337.05440606088,0.0
cat__src_oui_46:c4:15,95722.38980500354,0.0
cat__src_mac_46:c4:15:d1:37:3a,95722.38980500354,0.0
cat__src_oui_12:d7:cc,78359.56861597692,0.0
cat__src_mac_12:d7:cc:8b:fc:ac,78359.56861597692,0.0
cat__dst_mac_12:91:17:3c:15:05,78208.04955773338,0.0
cat__dst_oui_12:91:17,78208.04955773338,0.0
cat__src_mac_0e:ff:83:28:10:66,76379.77359829923,0.0
cat__src_oui_0e:ff:83,76379.77359829923,0.0
cat__dst_oui_26:31:13,75955.17958440803,0.0
cat__dst_mac_26:31:13:57:1d:60,75955.17958440803,0.0
cat__src_oui_b6:e7:df,65237.09224346434,0.0
cat__src_mac_b6:e7:df:74:d6:71,65237.09224346434,0.0
cat__application_name_HTTP_Proxy,60309.531267427396,0.0
cat__dst_ip_10.100.200.3,54279.511085286926,0.0
cat__dst_oui_b6:e7:df,51607.589545443225,0.0
cat__dst_mac_b6:e7:df:74:d6:71,51607.589545443225,0.0
cat__src_mac_26:28:7a:8b:a0:ed,51197.94559395612,0.0
cat__src_oui_26:28:7a,51197.94559395612,0.0
cat__dst_oui_4a:87:80,47716.56793754708,0.0
cat__dst_mac_4a:87:80:96:d4:1e,47716.56793754708,0.0
cat__src_oui_de:1d:a0,47515.53727266558,0.0
cat__src_mac_de:1d:a0:11:bc:24,47515.53727266558,0.0
cat__dst_mac_0e:0e:1e:7a:ed:47,45521.89871871631,0.0
cat__dst_oui_0e:0e:1e,45521.89871871631,0.0
cat__src_ip_10.100.200.18,43492.81026594948,0.0
cat__src_oui_12:91:17,42736.083010142174,0.0
cat__src_mac_12:91:17:3c:15:05,42736.083010142174,0.0
cat__application_category_name_Web,41249.78492387267,0.0
cat__application_category_name_Download,39889.68186987624,0.0
cat__src_oui_26:31:13,39610.8160651685,0.0
cat__src_mac_26:31:13:57:1d:60,39610.8160651685,0.0
cat__dst_ip_10.100.200.4,37784.82144914335,0.0
cat__dst_oui_be:83:16,37645.62002636205,0.0
cat__dst_mac_be:83:16:5d:11:08,37645.62002636205,0.0
cat__application_name_BitTorrent,36884.57190473869,0.0
cat__dst_ip_1.1.1.1,34947.43476009487,0.0
cat__dst_oui_12:d7:cc,34159.82487248148,0.0
cat__dst_mac_12:d7:cc:8b:fc:ac,34159.82487248148,0.0
cat__dst_ip_127.0.0.11,32110.723733394436,0.0
