feature,importance
num__src2dst_last_seen_ms,0.06698402578358684
num__bidirectional_first_seen_ms,0.06678716638163436
num__src2dst_first_seen_ms,0.06517296358126806
num__bidirectional_last_seen_ms,0.06511473502285126
num__bidirectional_mean_ps,0.023288410449567344
num__dst2src_last_seen_ms,0.02249856432650608
num__src2dst_max_ps,0.020602537475962607
num__dst2src_first_seen_ms,0.0204214824748382
num__bidirectional_max_ps,0.020143372427668175
num__src2dst_min_ps,0.01972236450073281
num__id,0.019009383906425308
num__src2dst_mean_ps,0.018708411973101736
num__bidirectional_bytes,0.018671416889927617
num__bidirectional_min_ps,0.01844874198113307
num__udps.session_establishment_request_counter,0.018336513185261125
num__src2dst_bytes,0.017780633467061727
num__bidirectional_packets,0.01342327594856723
num__dst_port,0.012716306013015686
num__udps.session_deletion_request_counter,0.011274128970709984
num__src2dst_packets,0.011247350671785035
num__src2dst_mean_piat_ms,0.011090088080446895
num__bidirectional_ack_packets,0.010944323683643231
num__bidirectional_mean_piat_ms,0.010827807324755152
cat__dst_mac_26:31:13:57:1d:60,0.010770579857112828
cat__src_mac_46:c4:15:d1:37:3a,0.010468921293961366
cat__dst_oui_26:31:13,0.010130419142752443
cat__src_mac_0e:ff:83:28:10:66,0.009808989244756696
cat__dst_mac_26:28:7a:8b:a0:ed,0.009278262955886442
cat__src_oui_0e:ff:83,0.009254452900735472
num__dst2src_mean_ps,0.009008782565523295
num__src_port,0.008341326827982899
cat__src_oui_46:c4:15,0.008207863031810883
cat__dst_mac_12:91:17:3c:15:05,0.00802319623761669
cat__dst_oui_26:28:7a,0.007857296248271745
cat__dst_oui_12:91:17,0.007589477910414278
num__src2dst_duration_ms,0.007564220458123485
num__dst2src_min_ps,0.007478602238156849
num__bidirectional_duration_ms,0.007398635728766249
num__bidirectional_stddev_piat_ms,0.007361611642273319
cat__dst_ip_10.100.200.4,0.007298564480427223
num__src2dst_stddev_piat_ms,0.006973676313895766
cat__src_oui_b6:e7:df,0.006906282282680877
cat__src_oui_12:d7:cc,0.006514854449799771
num__dst2src_bytes,0.006499233634023221
cat__application_name_HTTP_Proxy,0.006379802227537585
num__dst2src_packets,0.006325063611622268
cat__src_mac_12:d7:cc:8b:fc:ac,0.006176096944473453
cat__src_mac_b6:e7:df:74:d6:71,0.005687457062260346
num__dst2src_rst_packets,0.005656214543160169
num__dst2src_max_ps,0.00550591890508344
num__src2dst_max_piat_ms,0.005240708262613304
num__src2dst_ack_packets,0.005130668480514073
num__bidirectional_max_piat_ms,0.005089239949589866
num__dst2src_ack_packets,0.004919924340429622
num__application_confidence,0.00487362457864856
cat__application_category_name_Web,0.004747754618724503
cat__application_name_Unknown,0.004632159181666575
cat__dst_mac_b6:e7:df:74:d6:71,0.004595642125469708
num__bidirectional_stddev_ps,0.004579947007874062
cat__dst_ip_127.0.0.11,0.00451784995323147
num__protocol,0.004514837565682408
cat__src_mac_12:91:17:3c:15:05,0.004359259362921347
cat__src_oui_12:91:17,0.0043339568425738145
num__udps.session_deletion_response_counter,0.004320452325086012
cat__application_category_name_Unspecified,0.0042787088073663535
