feature,perm_importance_mean,perm_importance_std
protocol,7.500000000002505e-05,0.0001000000000000334
bidirectional_cwr_packets,0.0,0.0
udps.pfd_management_response_counter,0.0,0.0
udps.pfd_management_request_counter,0.0,0.0
udps.heartbeat_response_counter,0.0,0.0
udps.heartbeat_request_counter,0.0,0.0
content_type,0.0,0.0
user_agent,0.0,0.0
client_fingerprint,0.0,0.0
dst2src_urg_packets,0.0,0.0
udps.association_setup_response_counter,0.0,0.0
dst2src_ece_packets,0.0,0.0
dst2src_cwr_packets,0.0,0.0
src2dst_urg_packets,0.0,0.0
src2dst_ece_packets,0.0,0.0
src2dst_cwr_packets,0.0,0.0
bidirectional_urg_packets,0.0,0.0
bidirectional_ece_packets,0.0,0.0
udps.association_setup_request_counter,0.0,0.0
udps.association_update_request_counter,0.0,0.0
dst2src_min_piat_ms,0.0,0.0
udps.session_establishment_request_counter,0.0,0.0
udps.session_report_request_counter,0.0,0.0
udps.session_deletion_response_counter,0.0,0.0
udps.session_deletion_request_counter,0.0,0.0
udps.session_modification_response_counter,0.0,0.0
udps.session_modification_request_counter,0.0,0.0
udps.session_establishment_response_counter,0.0,0.0
udps.session_set_deletion_response_counter,0.0,0.0
udps.association_update_response_counter,0.0,0.0
udps.session_set_deletion_request_counter,0.0,0.0
udps.node_report_response_counter,0.0,0.0
udps.node_report_request_counter,0.0,0.0
udps.version_not_supported_response_counter,0.0,0.0
udps.association_release_response_counter,0.0,0.0
udps.association_release_request_counter,0.0,0.0
expiration_id,0.0,0.0
udps.session_report_response_counter,0.0,0.0
ip_version,0.0,0.0
vlan_id,0.0,0.0
tunnel_id,-7.500000000002505e-05,6.12372435695999e-05
dst2src_rst_packets,-7.500000000002505e-05,6.123724356959991e-05
src_mac,-7.500000000002505e-05,6.123724356959991e-05
dst_oui,-0.00010000000000001119,9.354143466934417e-05
application_confidence,-0.00010000000000001119,9.354143466934417e-05
dst_mac,-0.0001000000000000334,5.00000000000167e-05
application_is_guessed,-0.0001000000000000334,5.000000000001669e-05
application_name,-0.00012499999999999735,0.00011180339887497717
bidirectional_stddev_piat_ms,-0.00012499999999999735,0.00011180339887497717
dst2src_duration_ms,-0.00012500000000004174,0.0
requested_server_name,-0.00012500000000004174,0.0
bidirectional_rst_packets,-0.00012500000000004174,0.0
bidirectional_psh_packets,-0.00012500000000004174,0.0
server_fingerprint,-0.00012500000000004174,0.0
dst2src_stddev_piat_ms,-0.00012500000000004174,0.0
bidirectional_syn_packets,-0.00012500000000004174,0.0
src2dst_psh_packets,-0.00012500000000004174,0.0
bidirectional_stddev_ps,-0.00012500000000004174,0.0
dst_port,-0.00012500000000004174,0.0
src2dst_min_piat_ms,-0.00012500000000004174,0.0
src2dst_rst_packets,-0.00012500000000004174,0.0
src_oui,-0.00015000000000000568,9.35414346693323e-05
application_category_name,-0.00017500000000001404,0.0001274754878398143
src2dst_bytes,-0.00017500000000001404,6.123724356954551e-05
dst2src_min_ps,-0.00017500000000001404,6.123724356954551e-05
src2dst_syn_packets,-0.00020000000000000017,6.123724356954551e-05
dst2src_packets,-0.00020000000000000017,6.123724356954551e-05
src2dst_max_ps,-0.00020000000000000017,6.123724356954551e-05
bidirectional_min_ps,-0.00020000000000000017,6.123724356954551e-05
bidirectional_min_piat_ms,-0.00020000000000000017,6.123724356954551e-05
bidirectional_max_ps,-0.00022499999999998633,4.999999999997229e-05
src2dst_ack_packets,-0.00022499999999998633,4.999999999997229e-05
src2dst_mean_ps,-0.00022499999999998633,4.999999999997229e-05
src2dst_stddev_piat_ms,-0.00022499999999998633,4.999999999997229e-05
dst2src_last_seen_ms,-0.00024999999999997247,0.0
dst2src_mean_ps,-0.00024999999999997247,0.0
dst2src_ack_packets,-0.00024999999999997247,0.0
dst2src_fin_packets,-0.00024999999999997247,0.0
bidirectional_fin_packets,-0.00024999999999997247,0.0
dst2src_mean_piat_ms,-0.00024999999999997247,0.0
dst2src_psh_packets,-0.00024999999999997247,0.0
dst2src_max_ps,-0.00024999999999997247,0.0
src2dst_stddev_ps,-0.00024999999999997247,0.0
dst2src_max_piat_ms,-0.00024999999999997247,0.0
src2dst_fin_packets,-0.00024999999999997247,0.0
dst2src_syn_packets,-0.00024999999999997247,0.0
bidirectional_mean_ps,-0.00024999999999997247,0.0
dst2src_bytes,-0.00024999999999997247,0.0
dst2src_stddev_ps,-0.00024999999999997247,0.0
src2dst_duration_ms,-0.0002499999999999947,7.905694150420077e-05
src2dst_min_ps,-0.0002749999999999808,5.00000000000167e-05
dst2src_first_seen_ms,-0.0002749999999999808,5.00000000000167e-05
bidirectional_bytes,-0.0002749999999999808,5.000000000001669e-05
src2dst_max_piat_ms,-0.0002999999999999892,0.00012747548783979687
bidirectional_ack_packets,-0.0002999999999999892,6.12372435695999e-05
bidirectional_duration_ms,-0.0003249999999999975,6.12372435695999e-05
src2dst_mean_piat_ms,-0.0003499999999999837,9.354143466934417e-05
bidirectional_packets,-0.00035000000000000585,5.000000000001669e-05
src2dst_packets,-0.000374999999999992,7.905694150420077e-05
bidirectional_mean_piat_ms,-0.00040000000000000034,4.999999999997229e-05
bidirectional_max_piat_ms,-0.00044999999999997267,6.123724356954551e-05
dst_ip,-0.000649999999999995,5.00000000000167e-05
src_port,-0.0009250000000000202,0.0002031009601159149
src_ip,-0.0012749999999999817,5.00000000000167e-05
bidirectional_last_seen_ms,-0.00129999999999999,0.00012747548783979687
src2dst_first_seen_ms,-0.0014249999999999875,0.00025739075352467254
id,-0.0016000000000000014,0.0002669269563007908
src2dst_last_seen_ms,-0.0018749999999999821,0.00017677669529661742
bidirectional_first_seen_ms,-0.002049999999999974,0.00012747548783981428
