feature,shap_abs_mean
fe_ack_rate_imbalance,0.12967766190248262
protocol,0.02090756180271833
fe_packets_per_ms_bi,0.019491373229819347
bidirectional_min_ps,0.019198084789592302
src2dst_min_ps,0.018748234823221657
application_is_guessed,0.013698095212931596
src2dst_duration_ms,0.013468422189804147
fe_syn_rate_bi,0.010132824897285099
src2dst_stddev_ps,0.008997669858580753
fe_dst2src_ack_rate,0.008859610178467122
dst2src_stddev_ps,0.007693318549148592
bidirectional_mean_piat_ms,0.005861925251151044
dst2src_mean_piat_ms,0.005409950067301785
dst2src_stddev_piat_ms,0.003947656045719904
bidirectional_stddev_ps,0.0034023275705041354
fe_src2dst_min_over_mean_ps,0.0025981013989905305
fe_bidirectional_piat_burstiness,0.0017326861817191757
bidirectional_min_piat_ms,0.0012384320706736245
dst2src_min_piat_ms,0.00030244921425249394
fe_session_rep_req_resp_imbalance,0.00023669405481438084
fe_src2dst_piat_burstiness,0.0002091439553185275
fe_session_rep_req_per_packet,0.00011491825444915115
fe_dst2src_psh_rate,7.642680578906544e-05
fe_psh_rate_bi,3.904391952001402e-05
fe_dst2src_piat_burstiness,3.780331178787973e-05
fe_session_rep_resp_per_packet,8.519474906625467e-06
fe_src2dst_psh_rate,8.170071866567603e-06
fe_dst2src_syn_rate,3.2958721665145803e-06
fe_fin_rate_bi,2.3999316347259287e-06
fe_dst2src_fin_rate,1.5008449094632172e-06
fe_src2dst_fin_rate,1.3124538301995529e-06
fe_src2dst_rst_rate,2.2286633492534043e-08
fe_session_mod_req_per_packet,0.0
fe_session_est_req_per_packet,0.0
fe_session_del_resp_per_packet,0.0
fe_session_del_req_resp_imbalance,0.0
fe_session_del_req_per_packet,0.0
fe_session_mod_req_resp_imbalance,0.0
fe_session_mod_resp_per_packet,0.0
ip_version,0.0
