round,macro_f1_weighted,macro_precision_weighted,macro_recall_weighted
1,0.5611434665296503,0.6466158027347917,0.5975895734879288
2,0.5921881581558125,0.6798048558663679,0.6770620722975635
3,0.47413230476110585,0.45664085710333874,0.6105101614761886
4,0.6033118610789773,0.6531828773215681,0.6895773202698368
5,0.6813326142566629,0.7050355715857388,0.7326497292818438
6,0.7146591854194024,0.8472362444114535,0.7466578944020991
7,0.7442433539532797,0.8664187549731148,0.7573131726051934
8,0.7304478742237352,0.8340945795158509,0.7591485939949042
9,0.7323605412378205,0.8359439682124252,0.7615870362183791
10,0.7504194808864157,0.835180912669707,0.7742078563344317
